engine	query_id	return_code	real_seconds	rows	log	output
hive	hive_01_p9_window_dashboard	0	56	100	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/hive_hive_01_p9_window_dashboard.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/hive_hive_01_p9_window_dashboard.tsv
hive	hive_02_p9_sensor_dashboard	0	17	15	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/hive_hive_02_p9_sensor_dashboard.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/hive_hive_02_p9_sensor_dashboard.tsv
trino	trino_01_p9_ods_count	0	3	1	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_01_p9_ods_count.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_01_p9_ods_count.tsv
trino	trino_02_p9_sensor_long_counts	0	2	15	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_02_p9_sensor_long_counts.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_02_p9_sensor_long_counts.tsv
trino	trino_03_p9_window_consistency	0	2	1	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_03_p9_window_consistency.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/trino_trino_03_p9_window_consistency.tsv
doris	doris_01_p9_sensor_dashboard	0	0	15	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_01_p9_sensor_dashboard.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_01_p9_sensor_dashboard.tsv
doris	doris_02_p9_window_dashboard	0	0	100	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_02_p9_window_dashboard.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_02_p9_window_dashboard.tsv
doris	doris_03_p9_consistency	0	0	5	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_03_p9_consistency.log	/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_035423/doris_doris_03_p9_consistency.tsv
